0.085366,0.333333,0,0.037838,0.174825,0,0.005435,0.1875,0.064935,0.000877,0.153,1,0.142857,0.538462,0.357143,0.333333,0.070588,0.271501,0.153846,0.1978,0
0.036585,0.833333,0,0.010811,0.041958,0.001036,0.005435,0.03125,0.038961,0.010526,0.016,0,0,1,0.777778,0,0,0.057191,0,0,0
0.073171,0.166667,0,0.010811,0.174825,0.001726,0.01087,0,0.064935,0.003684,0.166,1,0,0,0.5,0,0,0.338748,0.038462,0.076923,0
0.231707,0.333333,0,0.108108,0.216783,0.04591,0.032609,0.5625,0.233766,0.003392,0.17,1,0.285714,0.4375,0.163158,0.333333,0.070588,0.101416,0.076923,0.153846,0
0.085366,0.333333,0,0.059459,0.146853,0.005868,0.032609,0.15625,0.077922,0.003509,0.09,1,0,0.375,0.375,0,0,0.152719,0.076923,0.153846,0
0.036585,0.166667,0,0.048649,0.055944,0.000345,0.021739,0.15625,0.038961,0,0.026,1,0.142857,0,0.5,0,0,0.096785,0.038462,0.051277,0
0,0.166667,0,0.145946,0,0,0.141304,0.03125,0,0.010526,0,0,0,0,0,0,0,0,0,0,0
0.02439,0.333333,0,0.032432,0.027972,0,0.005435,0.1875,0.025974,0,0.016,1,0.142857,0.961538,0.666667,0,0,0.085787,0.038462,0.076923,0
0.146341,0.5,0,0.043243,0.132867,0.020711,0.005435,0.25,0.116883,0.001914,0.101,1,0,0.521739,0.354167,0.333333,0.070588,0.096785,0.115385,0.179492,0
0.02439,1,0,0.010811,0.048951,0,0.005435,0.03125,0.025974,0,0.025,1,0,0.944444,0.666667,0,0,0.145178,0.038462,0.076923,0
0.170732,0.5,0,0.032432,0.202797,0.012081,0.005435,0.1875,0.168831,0.00081,0.132,1,0,0.636364,0.339286,0.666667,0.564706,0.110297,0.076923,0.175831,0
0,0.166667,0,0.005405,0,0,0.005435,0,0,0.010526,0,0,0,0,0,0,0,0,0,0,0
0.134146,0.333333,0.36,0.081081,0.160839,0.016914,0.054348,0.15625,0.116883,0.003158,0.087,1,0,0.52381,0.327273,0.333333,0.070588,0.089986,0.076923,0.167831,0
0.158537,0.5,0,0.075676,0.230769,0.023473,0.048913,0.21875,0.142857,0.004496,0.121,1,0.142857,0.45,0.283333,0,0,0.105584,0.076923,0.153846,0
0.036585,0.5,0,0.027027,0.055944,0.001036,0.005435,0.15625,0.025974,0.010526,0.028,0,0,0.941176,0.5,0.333333,0.070588,0.109983,0.038462,0.051277,0
0.158537,0.5,0,0.043243,0.202797,0.012427,0.005435,0.25,0.142857,0.002632,0.158,1,0,0.65625,0.326923,0.666667,0.494118,0.146193,0.153846,0.201185,0
0.04878,0.166667,0,0.027027,0.034965,0,0.027174,0,0.051948,0.003509,0.028,1,0,0,0.4375,0,0,0.069289,0.038462,0.115385,0
0.146341,0.5,0,0.059459,0.188811,0.015188,0.005435,0.3125,0.103896,0.003828,0.124,1,0.285714,0.571429,0.233766,0.333333,0.070588,0.118782,0.115385,0.141031,0
0.036585,0.166667,0,0.021622,0.041958,0,0.01087,0.0625,0.025974,0.002632,0.033,1,0.142857,0,0.666667,0,0,0.118782,0.076923,0.153846,0
0.195122,0.333333,0,0.043243,0.132867,0.039351,0.021739,0.1875,0.155844,0.004211,0.09,1,0.142857,0.65,0.2875,0.333333,0.211765,0.060216,0.038462,0.134615,0
0.085366,0.333333,0.08,0.016216,0.055944,0.003107,0.01087,0.03125,0.090909,0.003509,0.04,1,0,0.333333,0.642857,0,0,0.058448,0.076923,0.175831,0
0.097561,0.166667,0.12,0.059459,0.083916,0.004833,0.054348,0.03125,0.090909,0.003759,0.056,1,0.142857,0,0.5,0,0,0.074239,0.038462,0.134615,0
0.012195,0.166667,0,0.027027,0.006993,0,0.021739,0.03125,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.036585,0.166667,0,0.027027,0.055944,0.001036,0.005435,0.125,0.038961,0.010526,0.023,0,0,0,0.5,0,0,0.087986,0.038462,0.102569,0
0.02439,0.166667,0,0.005405,0.013986,0.000345,0.005435,0,0.025974,0.010526,0.002,0,0,0,1,0,0,0,0.038462,0.153846,0
0.036585,0.666667,0,0.021622,0.062937,0,0.005435,0.125,0.038961,0.002632,0.033,1,0.285714,0.894737,0.555556,0,0,0.123181,0.038462,0.102569,0
0.02439,0.5,0,0.021622,0.034965,0,0.005435,0.125,0.025974,0,0.02,1,0.142857,0.985915,0.666667,0.333333,0.070588,0.112183,0.038462,0.076923,0
0.060976,0.5,0,0.021622,0.06993,0.00069,0.005435,0.09375,0.064935,0.003289,0.04,1,0,0.902439,0.466667,0.333333,0.070588,0.087107,0.076923,0.153846,0
0.04878,0.5,0,0.059459,0.160839,0,0.005435,0.34375,0.012987,0.002632,0.075,1,0.142857,0.833333,0.4375,0.333333,0.070588,0.227665,0.038462,0.115385,0
0.04878,0.166667,0,0.021622,0.06993,0,0.005435,0.09375,0.051948,0,0.035,1,0,0,0.583333,0,0,0.098985,0.038462,0.115385,0
0.182927,0.333333,0,0.086486,0.146853,0.030721,0.016304,0.5,0.194805,0.004135,0.105,1,0.285714,0.5,0.183333,0.333333,0.141176,0.075668,0.076923,0.153846,0
0.085366,0.5,0,0.027027,0.167832,0.001036,0,0.15625,0.064935,0.002632,0.141,1,0.285714,0.5,0.267857,0.666667,0.141176,0.245105,0.115385,0.1978,0
0.04878,0.5,0,0.032432,0.041958,0,0.005435,0.1875,0.025974,0.002632,0.03,1,0.285714,0.958904,0.45,0.333333,0.070588,0.079188,0.038462,0.115385,0
0.182927,0.5,0,0.075676,0.321678,0.032102,0.005435,0.4375,0.103896,0.004323,0.217,1,0,0.571429,0.261905,0.666667,0.141176,0.174213,0.076923,0.133338,0
0.02439,0.166667,0,0.010811,0.076923,0.000345,0.005435,0.03125,0.025974,0.010526,0.054,0,0,0,0.666667,0,0,0.343147,0.230769,0.461538,0
0.012195,0.166667,0,0.005405,0.006993,0,0.005435,0,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.597561,0.5,0.04,0.07027,0.678322,0.403866,0.01087,0.375,0.597403,0.003765,0.378,0.333333,0.142857,0.258065,0.121088,0.333333,0.070588,0.087807,0.076923,0.147569,0
0.109756,0.333333,0,0.032432,0.104895,0.002761,0,0.1875,0.116883,0.003509,0.087,0,0.285714,0.578947,0.333333,0,0,0.109983,0.038462,0.136754,0
0.109756,0.333333,0.56,0.118919,0.132867,0.005523,0.081522,0.21875,0.077922,0.003728,0.077,1,0.428571,0.466667,0.288889,0.333333,0.070588,0.095319,0.076923,0.153846,0
0.060976,0.5,0,0.043243,0.216783,0.00069,0.005435,0.25,0.038961,0.002632,0.122,1,0.142857,0.8,0.4,0,0,0.303553,0.115385,0.184615,1
0.02439,0.833333,0,0.021622,0.048951,0,0.01087,0.0625,0.025974,0,0.025,1,0.142857,0.944444,0.666667,0,0,0.145178,0.038462,0.076923,0
0.036585,0.833333,0,0.021622,0.055944,0,0.005435,0.09375,0.038961,0.002632,0.032,1,0.285714,0.894737,0.555556,0,0,0.118782,0.038462,0.102569,0
0.02439,0.166667,0,0.010811,0.132867,0.000345,0.005435,0.03125,0.025974,0.010526,0.121,0,0,0,0.666667,0,0,0.785279,0.5,1,0
0.121951,0.333333,0,0.081081,0.195804,0.010701,0.016304,0.46875,0.090909,0.004288,0.097,0.666667,0,0.636364,0.222222,0.333333,0.070588,0.110863,0.038462,0.123077,0
0.085366,0.333333,0,0.043243,0.111888,0,0.016304,0.15625,0.064935,0.001754,0.067,1,0.285714,0.538462,0.357143,0.333333,0.070588,0.109355,0.038462,0.131862,0
0.195122,0.333333,0.04,0.07027,0.251748,0.026924,0.005435,0.375,0.12987,0.003947,0.188,1,0.142857,0.333333,0.2375,0.333333,0.070588,0.138579,0.115385,0.163462,0
0.121951,0,0,0.064865,0.118881,0.007249,0,0.375,0.116883,0.003509,0.08,1,0.142857,0,0.333333,0,0,0.088426,0.038462,0.123077,0
0.121951,0.5,0,0.086486,0.153846,0.014843,0.01087,0.4375,0.103896,0.001754,0.093,1,0,0.826087,0.4,0.333333,0.070588,0.108223,0.038462,0.123077,0
0.036585,0.166667,0,0.027027,0.020979,0.001036,0.021739,0.03125,0.038961,0.010526,0.003,0,0,0,0.833333,0,0,0,0.038462,0.153846,0
0.04878,0.166667,0.16,0.032432,0.076923,0.002071,0.021739,0.0625,0.038961,0.010526,0.036,0,0,0,0.5625,0,0,0.105584,0.076923,0.153846,0
0.02439,0.333333,0,0.016216,0.041958,0.000345,0,0.09375,0.025974,0.010526,0.014,0,0,0.833333,0.666667,0,0,0.079188,0.038462,0.076923,0
0.121951,0.5,0,0.021622,0.097902,0.011391,0.005435,0.125,0.12987,0.00117,0.058,1,0,0.724138,0.6,0.666667,0.352941,0.06203,0.038462,0.123077,0
0.012195,0.833333,0,0.010811,0.013986,0,0.005435,0.03125,0.012987,0.010526,0.007,1,0,1,1,0,0,0.06599,0,0,0
0.158537,0,0,0.086486,0.300699,0.025544,0.01087,0.46875,0.116883,0.004532,0.223,1,0.285714,0,0.21978,0,0,0.210152,0.076923,0.177508,0
0.146341,0.166667,0,0.021622,0.104895,0.015878,0,0.125,0.142857,0.004187,0.073,1,0.285714,0,0.266667,0,0,0.06269,0.038462,0.141031,0
0.109756,0.166667,0,0.027027,0.111888,0.012427,0.01087,0.09375,0.116883,0.010526,0.069,0,0,0,0.194444,0,0,0.087986,0.038462,0.136754,0
0.04878,0.166667,0.08,0.021622,0.055944,0,0.01087,0.0625,0.051948,0,0.028,1,0,0,0.75,0,0,0.075888,0.038462,0.115385,0
0.207317,0.166667,0,0.454054,0.118881,0.046945,0.434783,0.21875,0.220779,0.010526,0.017,0,0,0,0.222222,0,0,0,0.038462,0.153846,1
0.012195,0.166667,0,0,0.013986,0,0,0,0.012987,0.010526,0.022,0,0,0,1,0,0,0.039594,0,0,0
0.036585,0.333333,0,0.037838,0.041958,0,0.021739,0.125,0.038961,0,0.024,1,0,0.928571,0.666667,0,0,0.087986,0.038462,0.102569,0
0.134146,0.166667,0,0.086486,0.314685,0.011391,0.016304,0.4375,0.064935,0.003789,0.302,1,0.285714,0,0.3,0,0,0.343147,0.192308,0.321677,0
0.060976,0,0,0.043243,0.13986,0,0.01087,0.1875,0.038961,0,0.072,1,0,0,0.5,0,0,0.174213,0.038462,0.123077,0
0.073171,0.166667,0,0.027027,0.181818,0.000345,0.005435,0.125,0.064935,0.005263,0.145,0.375,0.142857,0,0.36,0,0,0.288156,0.384615,0.333338,0
0.134146,0.166667,0,0.032432,0.202797,0.005868,0.005435,0.1875,0.103896,0.003333,0.16,1,0.142857,0,0.30303,0,0,0.175173,0.192308,0.209785,0
0.182927,0.166667,0,0.005405,0.125874,0.032793,0.005435,0,0.155844,0.001504,0.106,1,0,0,0.377778,0,0,0.078308,0.038462,0.143585,0
0.04878,0.166667,0.12,0.016216,0.076923,0,0.016304,0,0.051948,0.001754,0.031,1,0,0,0.625,0,0,0.085787,0.038462,0.115385,0
0.02439,0.833333,0,0.010811,0.048951,0,0.005435,0.03125,0.025974,0,0.025,1,0,0.944444,0.666667,0,0,0.145178,0.038462,0.076923,0
1,0.166667,0.04,0.118919,1,1,0.021739,0.5625,1,0.005026,0.935,1,0.142857,0,0.114447,0,0,0.130853,1,0.223262,0
0.121951,0.5,0,0.059459,0.118881,0.011391,0.016304,0.34375,0.116883,0.002924,0.079,1,0,0.666667,0.266667,0.333333,0.070588,0.088426,0.115385,0.169231,1
0.060976,0.333333,0,0.037838,0.097902,0.00069,0.016304,0.21875,0.038961,0.003289,0.112,1,0.428571,0.692308,0.533333,0,0,0.271878,0.038462,0.123077,0
0.109756,0.166667,0,0.037838,0.083916,0,0.005435,0.1875,0.116883,0.001316,0.087,1,0.142857,0,0.416667,0,0,0.11145,0.038462,0.102569,0
0.073171,0.166667,0,0.043243,0.083916,0.005178,0.005435,0.21875,0.077922,0.010526,0.037,0,0,0,0.5,0,0,0.06819,0.038462,0.1282,0
0.036585,0.166667,0,0.010811,0.020979,0.001036,0.01087,0,0.038961,0.010526,0.003,0,0,0,1,0,0,0,0.038462,0.153846,0
0.060976,0.5,0,0.021622,0.118881,0.002761,0,0.125,0.064935,0.001316,0.098,1,0,0.902439,0.45,0,0,0.242843,0.153846,0.276923,0
0.158537,0.166667,0.04,0.037838,0.167832,0.022782,0.01087,0.15625,0.142857,0.004057,0.113,1,0.285714,0,0.3,0,0,0.097462,0.115385,0.177508,1
0.060976,0.5,0,0.081081,0.188811,0,0.01087,0.46875,0.025974,0.00307,0.105,1,0.142857,0.8,0.5,0.333333,0.070588,0.256041,0.115385,0.153846,0
0.085366,0.333333,0,0.005405,0.118881,0,0.005435,0,0.090909,0.001316,0.083,1,0,0.692308,0.714286,0,0,0.139521,0.038462,0.087908,0
0.414634,0.333333,0,0.097297,0.503497,0.163963,0.032609,0.53125,0.363636,0.004466,0.6,1,0,0.304348,0.123377,0.333333,0.070588,0.216214,0.076923,0.176477,0
0.060976,0.166667,0,0.032432,0.188811,0,0.01087,0.15625,0.051948,0.002632,0.153,1,0.142857,0,0.44,0,0,0.385381,0.192308,0.276923,0
0.134146,0.166667,0,0.075676,0.356643,0.007939,0.005435,0.40625,0.090909,0.003947,0.413,1,0.142857,0,0.42,0,0,0.475127,0.576923,0.461538,0
0.012195,0.166667,0,0.021622,0.006993,0,0.021739,0,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.02439,0.166667,0,0.037838,0.076923,0,0.005435,0.1875,0.025974,0,0.06,1,0.142857,0,0.6,0,0,0.369543,0.038462,0.076923,0
0.04878,0.5,0,0.064865,0.111888,0,0.01087,0.375,0.012987,0.002924,0.059,1,0.142857,0.833333,0.4,0.333333,0.070588,0.171574,0.038462,0.115385,0
0.097561,0.333333,0,0.064865,0.104895,0.006213,0.01087,0.375,0.077922,0.003759,0.056,1,0.285714,0.666667,0.291667,0.333333,0.070588,0.075888,0.038462,0.134615,0
0.060976,0.166667,0,0.005405,0.111888,0.001381,0,0.03125,0.064935,0,0.062,1,0,0,0.6,0,0,0.147817,0.076923,0.153846,0
0.04878,0.166667,0,0.027027,0.104895,0,0.005435,0.15625,0.051948,0.002924,0.068,1,0.285714,0,0.5,0,0,0.201269,0.038462,0.115385,0
0.170732,0.166667,0,0.032432,0.125874,0.021056,0.01087,0.15625,0.181818,0.004372,0.081,1,0.714286,0,0.297619,0,0,0.058448,0.038462,0.142862,0
0.341463,0.166667,0.44,0.124324,0.34965,0.119434,0.086957,0.21875,0.285714,0.004678,0.258,1,0.714286,0,0.155556,0,0,0.104641,0.115385,0.192308,1
0.036585,0.166667,0,0.021622,0.062937,0.000345,0.005435,0.09375,0.038961,0,0.047,1,0,0,0.5,0,0,0.189171,0.076923,0.153846,0
0.04878,0.666667,0.48,0.178378,0.055944,0.002071,0.179348,0,0.051948,0.007018,0.021,1,0,1,0.666667,0,0,0.052792,0,0,0
0.182927,0.5,0.08,0.043243,0.20979,0.02727,0.01087,0.1875,0.142857,0.004296,0.146,1,0,0.555556,0.205357,0.333333,0.070588,0.109103,0.038462,0.123077,0
0.073171,0.333333,0,0.027027,0.118881,0,0.005435,0.125,0.051948,0,0.08,1,0,0.583333,0.444444,0.333333,0.070588,0.160575,0.115385,0.179492,0
0.012195,0.666667,0.08,0.016216,0.013986,0,0.016304,0,0.012987,0.010526,0.007,1,0,1,1,0,0,0.06599,0,0,0
0.012195,0.166667,0,0.016216,0.006993,0,0.01087,0.03125,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.012195,0.333333,0,0.032432,0.027972,0,0.016304,0.125,0.012987,0.010526,0.011,0,0,1,1,0,0,0.13198,0,0,0
0.231707,0.333333,0,0.054054,0.160839,0.056955,0.032609,0.1875,0.194805,0.004386,0.105,1,0.142857,0.604651,0.273684,0.333333,0.211765,0.059044,0.038462,0.137646,0
0.012195,0.166667,0,0.091892,0.006993,0,0.092391,0,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.304878,0.166667,0,0.059459,0.440559,0.079392,0,0.34375,0.285714,0.003421,0.316,1,0.285714,0,0.13,0,0,0.150985,0.115385,0.16,1
0.060976,0.333333,0,0.027027,0.090909,0,0,0.15625,0.051948,0,0.063,1,0.142857,0.636364,0.45,0.333333,0.070588,0.150457,0.038462,0.123077,0
0.02439,0.166667,0,0.005405,0.048951,0.000345,0.005435,0,0.025974,0.010526,0.037,0,0,0,0.5,0,0,0.230964,0.115385,0.230769,0
0.012195,0.166667,0,0,0.006993,0,0,0,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.060976,0.333333,0,0.027027,0.132867,0,0.005435,0.15625,0.038961,0.00307,0.078,1,0.285714,0.636364,0.466667,0.333333,0.070588,0.184772,0.076923,0.153846,0
0.012195,0.166667,0,0.064865,0.006993,0,0.059783,0.03125,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.036585,0.166667,0,0.037838,0.104895,0.000345,0.005435,0.1875,0.025974,0.002632,0.062,1,0.142857,0,0.666667,0,0,0.255161,0.115385,0.153846,0
0.085366,0.166667,0,0.075676,0.097902,0.006559,0.032609,0.25,0.077922,0.005088,0.063,0.4,0.285714,0,0.3,0,0,0.096157,0.076923,0.175831,0
0.121951,0.166667,0,0.021622,0.223776,0.014153,0.01087,0.0625,0.103896,0.002924,0.217,1,0,0,0.55,0,0,0.270558,0.038462,0.123077,0
0.012195,0.166667,0,0.681081,0.006993,0,0.679348,0.03125,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,1
0.207317,0.333333,0,0.048649,0.391608,0.028996,0.021739,0.25,0.142857,0.003893,0.304,1,0,0.318182,0.25,0.333333,0.070588,0.218155,0.153846,0.2172,0
0.231707,0.333333,0,0.043243,0.174825,0.056265,0.027174,0.15625,0.194805,0.004825,0.124,1,0.142857,0.604651,0.273684,0.333333,0.141176,0.071547,0.038462,0.137646,0
0.036585,0.166667,0,0.027027,0.083916,0,0.005435,0.125,0.038961,0.001316,0.054,1,0.142857,0,0.466667,0,0,0.215567,0.076923,0.153846,0
0.036585,0.166667,0,0.005405,0.034965,0.001036,0,0.03125,0.038961,0.010526,0.013,0,0,0,0.555556,0,0,0.043993,0.038462,0.102569,0
0.036585,0.833333,0,0.010811,0.041958,0.001036,0.005435,0.03125,0.038961,0.010526,0.016,0,0,1,0.777778,0,0,0.057191,0,0,0
0.012195,0.166667,0,0.032432,0.006993,0,0.021739,0.0625,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.073171,0.5,0.04,0.032432,0.06993,0.001036,0.01087,0.15625,0.064935,0.002105,0.033,1,0.142857,0.761905,0.366667,0.333333,0.070588,0.057191,0.038462,0.1282,0
0.02439,0.333333,0,0.021622,0.083916,0.000345,0.01087,0.0625,0.025974,0.010526,0.031,0,0,0.964286,0.75,0,0,0.191371,0.038462,0.076923,0
0.02439,0.5,0,0.016216,0.027972,0,0.005435,0.09375,0.025974,0,0.016,1,0,0.985915,0.666667,0.333333,0.070588,0.085787,0.038462,0.076923,0
0.134146,0.333333,0.64,0.140541,0.153846,0.012772,0.097826,0.28125,0.090909,0.00386,0.115,1,0.142857,0.4375,0.309091,0.333333,0.070588,0.121181,0.076923,0.139862,0
0.121951,0.166667,0.08,0.048649,0.125874,0.003107,0.021739,0.21875,0.12987,0.003509,0.086,1,0.428571,0,0.285714,0,0,0.096345,0.115385,0.184615,0
0.02439,0.5,0,0.016216,0.027972,0,0.005435,0.09375,0.025974,0,0.016,1,0,0.985915,0.666667,0.333333,0.070588,0.085787,0.038462,0.076923,0
0.121951,0.666667,0,0.048649,0.286713,0.005868,0.005435,0.28125,0.038961,0.003509,0.218,1,0.142857,0.771429,0.296296,0.666667,0.282353,0.270558,0.115385,0.169231,0
0.085366,0.166667,0,0.037838,0.188811,0.003107,0,0.21875,0.051948,0.003947,0.11,1,0,0,0.4,0,0,0.190428,0.076923,0.131862,0
0.012195,0.166667,0,0.021622,0.006993,0,0.016304,0.03125,0.012987,0.010526,0.001,0,0,0,1,0,0,0,0.038462,0.153846,0
0.073171,0.5,0,0.032432,0.118881,0.003107,0.005435,0.1875,0.038961,0.003158,0.088,1,0,0.8,0.366667,0.333333,0.070588,0.178173,0.115385,0.179492,0
0.036585,0.5,0,0.021622,0.041958,0.001036,0.005435,0.125,0.025974,0.010526,0.016,0,0,0.941176,0.5,0.333333,0.070588,0.057191,0.038462,0.051277,0
0.182927,0.166667,0,0.021622,0.412587,0.036244,0.021739,0.03125,0.168831,0.010526,0.518,0,0,0,0.28,0,0,0.442572,0.192308,0.235892,0
0.073171,0.5,0.04,0.032432,0.06993,0,0.01087,0.15625,0.077922,0,0.046,1,0.142857,0.933333,0.555556,0.333333,0.070588,0.085787,0.038462,0.1282,0
0.073171,0.166667,0,0.048649,0.188811,0.005178,0.038043,0.09375,0.038961,0.010526,0.091,0,0,0,0.444444,0,0,0.186971,0.076923,0.179492,0
0.060976,0.333333,0,0.048649,0.146853,0,0.005435,0.25,0.038961,0.001316,0.084,1,0.285714,0.636364,0.4,0.333333,0.070588,0.203249,0.038462,0.123077,0
0.036585,0.833333,0,0.010811,0.041958,0.001036,0.005435,0.03125,0.038961,0.007895,0.017,1,0,1,0.777778,0,0,0.057191,0,0,0
0.085366,0.166667,0,0.027027,0.076923,0.002416,0.01087,0.125,0.064935,0.003801,0.054,1,0.142857,0,0.285714,0,0,0.082959,0.038462,0.131862,0
0.073171,0.166667,0,0,0.090909,0.005178,0,0,0.077922,0.010526,0.053,0,0,0,0.25,0,0,0.103384,0.076923,0.179492,0
0.012195,0.666667,0.08,0.016216,0.013986,0,0.016304,0,0.012987,0.010526,0.007,1,0,1,1,0,0,0.06599,0,0,0
0.036585,0.833333,0,0.021622,0.06993,0,0.005435,0.09375,0.038961,0.002632,0.034,1,0.142857,0.894737,0.555556,0,0,0.12758,0.038462,0.102569,0
0.109756,0.166667,0.08,0.048649,0.167832,0.010356,0.021739,0.21875,0.090909,0.003289,0.097,1,0,0,0.269841,0,0,0.12758,0.076923,0.153846,0
0.04878,0.5,0,0.048649,0.055944,0.00069,0.01087,0.28125,0.025974,0.004094,0.033,1,0.142857,0.857143,0.4,0,0,0.085787,0.038462,0.076923,0
0.158537,0.5,0,0.027027,0.188811,0.012427,0.005435,0.15625,0.142857,0.002632,0.129,1,0,0.65625,0.326923,0.666667,0.494118,0.116751,0.115385,0.201185,0
0.097561,0.333333,0,0.027027,0.132867,0.007594,0.005435,0.125,0.077922,0.003008,0.07,1,0,0.91954,0.416667,0.333333,0.070588,0.100635,0.076923,0.153846,0
0.02439,0.166667,0,0.027027,0.013986,0.000345,0.021739,0.03125,0.025974,0.010526,0.002,0,0,0,0.75,0,0,0,0.038462,0.153846,0
0.390244,0.166667,0,0.054054,0.454545,0.133241,0.005435,0.28125,0.376623,0.00432,0.382,1,0.285714,0,0.165625,0,0,0.140641,0.153846,0.182692,0
0.085366,0.166667,0,0.059459,0.265734,0.007249,0.021739,0.28125,0.038961,0.010526,0.167,0,0,0,0.3,0,0,0.301668,0.115385,0.219785,0
0.47561,0.166667,0,0.027027,0.678322,0.25164,0.01087,0.09375,0.493506,0.004737,0.611,0.6,0,0,0.121053,0,0,0.191878,0.076923,0.153846,0
0.02439,0.833333,0,0.016216,0.041958,0,0.01087,0.03125,0.025974,0.005263,0.021,1,0,0.944444,0.75,0,0,0.112183,0.038462,0.076923,0
0.04878,0.5,0,0.005405,0.034965,0.001381,0,0.03125,0.038961,0.003509,0.016,1,0.142857,0.948718,0.666667,0.333333,0.070588,0.036294,0.038462,0.076923,0
0.04878,0.166667,0,0.043243,0.125874,0.002071,0.027174,0.125,0.038961,0.010526,0.062,0,0,0,0.458333,0,0,0.191371,0.115385,0.192308,0
0.060976,0,0,0.064865,0.125874,0,0.01087,0.3125,0.025974,0.002895,0.087,1,0.428571,0,0.5,0,0,0.203249,0.038462,0.061538,0
0,0.166667,0,0.005405,0,0,0.005435,0,0,0.010526,0,0,0,0,0,0,0,0,0,0,0
0.02439,0.166667,0,0.016216,0.020979,0.000345,0.005435,0.0625,0.025974,0.010526,0.007,0,0,0,0.666667,0,0,0.032995,0.038462,0.076923,0
0.097561,0.166667,0,0.021622,0.111888,0.009665,0,0.125,0.103896,0.010526,0.04,0,0,0,0.166667,0,0,0.052792,0.038462,0.134615,0
0.073171,0.5,0,0.032432,0.111888,0,0.01087,0.1875,0.077922,0.003158,0.086,1,0.285714,0.933333,0.444444,0.333333,0.070588,0.169374,0.038462,0.1282,0
0.109756,0.166667,0,0.005405,0.181818,0.012427,0.005435,0,0.116883,0.010526,0.081,0,0,0,0.111111,0,0,0.105584,0.038462,0.136754,1
0.231707,0.166667,0,0.145946,0.384615,0.041767,0.021739,0.84375,0.103896,0.00402,0.299,1,0.285714,0,0.191919,0,0,0.191718,0.192308,0.234815,0
0.02439,0.166667,0,0.048649,0.013986,0.000345,0.048913,0,0.025974,0.010526,0.002,0,0,0,1,0,0,0,0.038462,0.153846,0
0.060976,0.333333,0,0.043243,0.090909,0,0.016304,0.15625,0.051948,0,0.064,1,0.142857,0.636364,0.45,0.333333,0.070588,0.153096,0.038462,0.123077,0
0.146341,0.5,0,0.086486,0.195804,0.01795,0.032609,0.46875,0.155844,0.003589,0.136,1,0.285714,0.62069,0.194444,0.333333,0.070588,0.134179,0.076923,0.153846,0
0.158537,0.333333,0,0.054054,0.237762,0.008975,0.005435,0.28125,0.116883,0.002924,0.209,1,0.285714,0.388889,0.307692,0.333333,0.070588,0.195939,0.307692,0.213015,0
